sistema,nombre,same_as_wikidata_nombre,nombre-uri,linea,linea-uri,linea-cdmx,same_as_wikidata_linea,tipo,tipo-uri,alcaldia-1,same_as_wikidata_alcaldia-1,alcaldia-2,same_as_wikidata_alcaldia-2,alcaldias-uri,anio
STC Metro,Copilco,https://www.wikidata.org/entity/Q6824550,copilco,03,linea-3,Line 3,https://wikidata.org/entity/Q945935,Intermedia,intermedia,Coyoacán,https://wikidata.org/entity/Q661315,,,coyoacan,1983
STC Metro,Universidad,https://www.wikidata.org/entity/Q6824764,universidad,03,linea-3,Line 3,https://wikidata.org/entity/Q945935,Terminal,terminal,Coyoacán,https://wikidata.org/entity/Q661315,,,coyoacan,1983
STC Metro,Santa Anita,https://www.wikidata.org/entity/Q6824703,santa-anita,04,linea-4,Line 4,https://wikidata.org/entity/Q2837181,Terminal / Transbordo,terminal-transbordo,Iztacalco,https://wikidata.org/entity/Q953866,,,iztacalco,1982
STC Metro,Jamaica,https://www.wikidata.org/entity/Q3377006,jamaica,04,linea-4,Line 4,https://wikidata.org/entity/Q2837181,Intermedia / Transbordo,intermedia-transbordo,Venustiano Carranza,https://wikidata.org/entity/Q10832464,,,venustiano-carranza,1982
STC Metro,Fray Servando,https://www.wikidata.org/entity/Q6824573,fray-servando,04,linea-4,Line 4,https://wikidata.org/entity/Q2837181,Intermedia,intermedia,Venustiano Carranza,https://wikidata.org/entity/Q10832464,,,venustiano-carranza,1982
STC Metro,Candelaria,https://www.wikidata.org/entity/Q2936246,candelaria,04,linea-4,Line 4,https://wikidata.org/entity/Q2837181,Intermedia / Transbordo,intermedia-transbordo,Venustiano Carranza,https://wikidata.org/entity/Q10832464,,,venustiano-carranza,1981
STC Metro,Morelos,https://www.wikidata.org/entity/Q9035123,morelos,04,linea-4,Line 4,https://wikidata.org/entity/Q2837181,Intermedia / Transbordo,intermedia-transbordo,Venustiano Carranza,https://wikidata.org/entity/Q10832464,,,venustiano-carranza,1981
STC Metro,Canal del Norte,https://www.wikidata.org/entity/Q6824521,canal-del-norte,04,linea-4,Line 4,https://wikidata.org/entity/Q2837181,Intermedia,intermedia,Venustiano Carranza,https://wikidata.org/entity/Q10832464,,,venustiano-carranza,1981
STC Metro,Consulado,https://www.wikidata.org/entity/Q6824549,consulado,04,linea-4,Line 4,https://wikidata.org/entity/Q2837181,Intermedia / Transbordo,intermedia-transbordo,Gustavo A. Madero,https://wikidata.org/entity/Q2027082,,,gustavo-a.-madero,1981
STC Metro,Bondojito,https://www.wikidata.org/entity/Q6824506,bondojito,04,linea-4,Line 4,https://wikidata.org/entity/Q2837181,Intermedia,intermedia,Gustavo A. Madero,https://wikidata.org/entity/Q2027082,,,gustavo-a.-madero,1981
STC Metro,Talismán,https://www.wikidata.org/entity/Q6824726,talisman,04,linea-4,Line 4,https://wikidata.org/entity/Q2837181,Intermedia,intermedia,Gustavo A. Madero,https://wikidata.org/entity/Q2027082,,,gustavo-a.-madero,1981
STC Metro,Martín Carrera,https://www.wikidata.org/entity/Q6824623,martin-carrera,04,linea-4,Line 4,https://wikidata.org/entity/Q2837181,Terminal / Transbordo,terminal-transbordo,Gustavo A. Madero,https://wikidata.org/entity/Q2027082,,,gustavo-a.-madero,1981
STC Metro,Politécnico,https://www.wikidata.org/entity/Q3431375,politecnico,05,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Terminal,terminal,Gustavo A. Madero,https://wikidata.org/entity/Q2027082,,,gustavo-a.-madero,1982
STC Metro,Instituto del Petróleo,https://www.wikidata.org/entity/Q6824591,instituto-del-petroleo,05,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Intermedia / Transbordo,intermedia-transbordo,Gustavo A. Madero,https://wikidata.org/entity/Q2027082,,,gustavo-a.-madero,1982
STC Metro,Autobuses del Norte,https://www.wikidata.org/entity/Q6824496,autobuses-del-norte,05,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Intermedia,intermedia,Gustavo A. Madero,https://wikidata.org/entity/Q2027082,,,gustavo-a.-madero,1982
STC Metro,La Raza,https://www.wikidata.org/entity/Q3429492,la-raza,05,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Intermedia / Transbordo,intermedia-transbordo,Gustavo A. Madero,https://wikidata.org/entity/Q2027082,,,gustavo-a.-madero,1982
STC Metro,Misterios,https://www.wikidata.org/entity/Q6824625,misterios,05,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Intermedia,intermedia,Gustavo A. Madero,https://wikidata.org/entity/Q2027082,Cuauhtémoc,,gustavo-a.-madero;cuauhtemoc,1982
STC Metro,Valle Gómez,https://www.wikidata.org/entity/Q9092402,valle-gomez,05,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Intermedia,intermedia,Gustavo A. Madero,https://wikidata.org/entity/Q2027082,Venustiano Carranza,,gustavo-a.-madero;venustiano-carranza,1982
STC Metro,Consulado,https://www.wikidata.org/entity/Q6824549,consulado,05,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Intermedia / Transbordo,intermedia-transbordo,Gustavo A. Madero,https://wikidata.org/entity/Q2027082,Venustiano Carranza,,gustavo-a.-madero;venustiano-carranza,1981
STC Metro,Eduardo Molina,https://www.wikidata.org/entity/Q6824560,eduardo-molina,05,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Intermedia,intermedia,Gustavo A. Madero,https://wikidata.org/entity/Q2027082,Venustiano Carranza,,gustavo-a.-madero;venustiano-carranza,1981
STC Metro,Aragón,https://www.wikidata.org/entity/Q6824481,aragon,05,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Intermedia,intermedia,Gustavo A. Madero,https://wikidata.org/entity/Q2027082,Venustiano Carranza,,gustavo-a.-madero;venustiano-carranza,1981
STC Metro,Oceanía,https://www.wikidata.org/entity/Q522857,oceania,05,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Intermedia / Transbordo,intermedia-transbordo,Venustiano Carranza,https://wikidata.org/entity/Q10832464,,,venustiano-carranza,1981
STC Metro,Terminal Aérea,https://www.wikidata.org/entity/Q6824733,terminal-aerea,05,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Intermedia,intermedia,Venustiano Carranza,https://wikidata.org/entity/Q10832464,,,venustiano-carranza,1981
STC Metro,Hangares,https://www.wikidata.org/entity/Q6824582,hangares,05,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Intermedia,intermedia,Venustiano Carranza,https://wikidata.org/entity/Q10832464,,,venustiano-carranza,1981
STC Metro,Pantitlán,https://www.wikidata.org/entity/Q3352997,pantitlan,05,linea-5,Line 5,https://wikidata.org/entity/Q1152238,Terminal / Transbordo,terminal-transbordo,Venustiano Carranza,https://wikidata.org/entity/Q10832464,,,venustiano-carranza,1981
STC Metro,El Rosario,https://www.wikidata.org/entity/Q3429496,el-rosario,06,linea-6,Line 6,https://wikidata.org/entity/Q3238990,Terminal / Transbordo,terminal-transbordo,Azcapotzalco,https://wikidata.org/entity/Q994867,,,azcapotzalco,1983
STC Metro,Tezozómoc,https://www.wikidata.org/entity/Q6824734,tezozomoc,06,linea-6,Line 6,https://wikidata.org/entity/Q3238990,Intermedia,intermedia,Azcapotzalco,https://wikidata.org/entity/Q994867,,,azcapotzalco,1983
STC Metro,UAM-Azcapotzalco,https://www.wikidata.org/entity/Q6824498,uam-azcapotzalco,06,linea-6,Line 6,https://wikidata.org/entity/Q3238990,Intermedia,intermedia,Azcapotzalco,https://wikidata.org/entity/Q994867,,,azcapotzalco,1983
STC Metro,Ferrería/Arena Ciudad de México,https://www.wikidata.org/entity/Q619422,ferreria,06,linea-6,Line 6,https://wikidata.org/entity/Q3238990,Intermedia,intermedia,Azcapotzalco,https://wikidata.org/entity/Q994867,,,azcapotzalco,1983
STC Metro,Norte 45,https://www.wikidata.org/entity/Q6824650,norte-45,06,linea-6,Line 6,https://wikidata.org/entity/Q3238990,Intermedia,intermedia,Azcapotzalco,https://wikidata.org/entity/Q994867,,,azcapotzalco,1983
STC Metro,Vallejo,https://www.wikidata.org/entity/Q6824762,vallejo,06,linea-6,Line 6,https://wikidata.org/entity/Q3238990,Intermedia,intermedia,Azcapotzalco,https://wikidata.org/entity/Q994867,,,azcapotzalco,1983
STC Metro,Instituto del Petróleo,https://www.wikidata.org/entity/Q6824591,instituto-del-petroleo,06,linea-6,Line 6,https://wikidata.org/entity/Q3238990,Intermedia / Transbordo,intermedia-transbordo,Gustavo A. Madero,https://wikidata.org/entity/Q2027082,,,gustavo-a.-madero,1983
STC Metro,Lindavista,https://www.wikidata.org/entity/Q6824614,lindavista,06,linea-6,Line 6,https://wikidata.org/entity/Q3238990,Intermedia,intermedia,Gustavo A. Madero,https://wikidata.org/entity/Q2027082,,,gustavo-a.-madero,1986
