sistema,nombre,nombre-uri,linea,linea-uri,tipo,tipo-uri,alcaldias,alcaldias-uri,anio
STC Metro,Iztacalco,iztacalco,08,linea-8,Intermedia,intermedia,Iztacalco,iztacalco,1994
STC Metro,Apatlaco,apatlaco,08,linea-8,Intermedia,intermedia,Iztapalapa,iztapalapa,1994
STC Metro,Aculco,aculco,08,linea-8,Intermedia,intermedia,Iztapalapa,iztapalapa,1994
STC Metro,Escuadrón 201,escuadron-201,08,linea-8,Intermedia,intermedia,Iztapalapa,iztapalapa,1994
STC Metro,Atlalilco,atlalilco,08,linea-8,Intermedia / Transbordo,intermedia-transbordo,Iztapalapa,iztapalapa,1994
STC Metro,Iztapalapa,iztapalapa,08,linea-8,Intermedia,intermedia,Iztapalapa,iztapalapa,1994
STC Metro,Cerro de la Estrella,cerro-de-la-estrella,08,linea-8,Intermedia,intermedia,Iztapalapa,iztapalapa,1994
STC Metro,UAM-I,uam-i,08,linea-8,Intermedia,intermedia,Iztapalapa,iztapalapa,1994
STC Metro,Constitución de 1917,constitucion-de-1917,08,linea-8,Terminal,terminal,Iztapalapa,iztapalapa,1994
STC Metro,Pantitlán,pantitlan,09,linea-9,Terminal / Transbordo,terminal-transbordo,Venustiano Carranza / Iztacalco,venustiano-carranza;iztacalco,1987
STC Metro,Puebla,puebla,09,linea-9,Intermedia,intermedia,Venustiano Carranza / Iztacalco,venustiano-carranza;iztacalco,1987
STC Metro,Ciudad Deportiva,ciudad-deportiva,09,linea-9,Intermedia,intermedia,Venustiano Carranza / Iztacalco,venustiano-carranza;iztacalco,1987
STC Metro,Velódromo,velodromo,09,linea-9,Intermedia,intermedia,Venustiano Carranza,venustiano-carranza,1987
STC Metro,Mixhiuca,mixhiuca,09,linea-9,Intermedia,intermedia,Venustiano Carranza,venustiano-carranza,1987
STC Metro,Jamaica,jamaica,09,linea-9,Intermedia / Transbordo,intermedia-transbordo,Venustiano Carranza,venustiano-carranza,1987
STC Metro,Chabacano,chabacano,09,linea-9,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,cuauhtemoc,1987
STC Metro,Lázaro Cárdenas,lazaro-cardenas,09,linea-9,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1987
STC Metro,Centro Médico,centro-medico,09,linea-9,Intermedia / Transbordo,intermedia-transbordo,Cuauhtémoc,cuauhtemoc,1987
STC Metro,Chilpancingo,chilpancingo,09,linea-9,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1988
STC Metro,Patriotismo,patriotismo,09,linea-9,Intermedia,intermedia,Cuauhtémoc / Miguel Hidalgo,cuauhtemoc;miguel-hidalgo,1988
STC Metro,Tacubaya,tacubaya,09,linea-9,Terminal / Transbordo,terminal-transbordo,Miguel Hidalgo,miguel-hidalgo,1988
STC Metro,Tláhuac,tlahuac,12,linea-12,Terminal,terminal,Tláhuac,tlahuac,2012
