fecha_dia,FECHA_HORA_RDF,codigo_estacion,sentido_codigo,Hora_Codigo,Valor_Intensidad
,,,,HOR3,4216
,,,,HOR4,4542
,,,,HOR5,2761
,,,,HOR6,2613
,,,,HOR7,3318
,,,,HOR8,3453
,,,,HOR9,3308
,,,,HOR10,3132
,,,,HOR11,2581
,,,,HOR12,1958
01/03/2025,2025-03-01T01:00:00,ES12,Norte,HOR1,1356
,,,,HOR2,1173
,,,,HOR3,922
,,,,HOR4,785
,,,,HOR5,719
,,,,HOR6,637
,,,,HOR7,723
,,,,HOR8,1040
,,,,HOR9,1374
,,,,HOR10,1542
,,,,HOR11,1788
,,,,HOR12,1821
01/03/2025,2025-03-01T01:00:00,ES12,Sur,HOR1,1612
,,,,HOR2,1692
,,,,HOR3,1557
,,,,HOR4,1601
,,,,HOR5,1675
,,,,HOR6,1669
,,,,HOR7,1654
,,,,HOR8,1727
,,,,HOR9,1765
,,,,HOR10,1533
,,,,HOR11,1464
,,,,HOR12,1445
01/03/2025,2025-03-01T01:00:00,ES12,Este,HOR1,0
,,,,HOR2,0
,,,,HOR3,0
,,,,HOR4,0
,,,,HOR5,0
,,,,HOR6,0
,,,,HOR7,0
,,,,HOR8,0
,,,,HOR9,0
,,,,HOR10,0
,,,,HOR11,0
,,,,HOR12,0
01/03/2025,2025-03-01T01:00:00,ES12,Oeste,HOR1,0
,,,,HOR2,0
,,,,HOR3,0
,,,,HOR4,0
,,,,HOR5,0
,,,,HOR6,0
,,,,HOR7,0
,,,,HOR8,0
,,,,HOR9,0
,,,,HOR10,0
,,,,HOR11,0
,,,,HOR12,0
01/03/2025,2025-03-01T01:00:00,ES13,Norte,HOR1,918
,,,,HOR2,740
,,,,HOR3,617
,,,,HOR4,553
,,,,HOR5,464
,,,,HOR6,395
,,,,HOR7,346
,,,,HOR8,384
,,,,HOR9,557
,,,,HOR10,809
,,,,HOR11,961
,,,,HOR12,1151
01/03/2025,2025-03-01T01:00:00,ES13,Sur,HOR1,1187
,,,,HOR2,1198
,,,,HOR3,898
,,,,HOR4,853
,,,,HOR5,1039
,,,,HOR6,1057
,,,,HOR7,1099
,,,,HOR8,1183
,,,,HOR9,1200
,,,,HOR10,1002
,,,,HOR11,997
,,,,HOR12,925
01/03/2025,2025-03-01T01:00:00,ES13,Este,HOR1,1130
,,,,HOR2,936
,,,,HOR3,799
,,,,HOR4,593
,,,,HOR5,421
,,,,HOR6,457
,,,,HOR7,310
,,,,HOR8,383
,,,,HOR9,588
,,,,HOR10,798
,,,,HOR11,1125
,,,,HOR12,1179
01/03/2025,2025-03-01T01:00:00,ES13,Oeste,HOR1,1337
,,,,HOR2,1377
,,,,HOR3,1049
,,,,HOR4,949
,,,,HOR5,1152
,,,,HOR6,1154
,,,,HOR7,1188
,,,,HOR8,1295
,,,,HOR9,1335
