anyo,trimestre,barrio,barrio_URI,num_viviendas,metros_2,dormitorios,banyos,renta_min,renta_media,renta_max,euros_m2,desv_tipica
2013,2,Carolinas Altas,Q5199022,35,81,2.5,1.3,220,383,500,4.7,51
2013,2,Carolinas Bajas,Q8339426,32,78,2.4,1.3,250,395,550,5.1,67
2013,2,Old town-Santa Cruz,Q8341907,19,76,2,1.4,250,464,800,6.1,146
2013,2,Center,Q5760971,118,100,2.7,1.7,280,552,1100,5.5,157
2013,2,Old town-Santa Cruz,Q8341907,49,85,2.3,1.5,250,503,1200,6,190
2013,2,Asis,Q5770765,8,89,2.7,1.3,300,386,450,4.4,49
2013,2,garden city,Q660088,2,177,3,1.7,420,655,1100,3.7,314
2013,2,Florida Alta,Q5863207,20,84,2.8,1.2,299,412,500,4.9,57
2013,2,Florida Baixa,Q5555553,21,84,2.6,1.4,300,425,600,5.1,72
2013,2,Garbinet,Q8963455,3,86,2.2,1.6,350,459,500,5.3,58
2013,2,Garbinet,Q8963455,28,99,2.8,1.9,360,555,800,5.6,82
2013,2,Joan XXIII,Q5952905,4,83,3,1.3,300,344,380,4.2,31
2013,2,l'Albufereta,Q11482271,56,77,2.1,1.4,250,503,850,6.5,122
2013,2,La Goteta,Q28502683,2,97,2,1.3,390,462,600,4.8,97
2013,2,Els Àngels,Q9024383,30,91,2.8,1.6,250,409,584,4.5,63
2013,2,Mercado,Q3117833,31,93,2.9,1.5,299,454,800,4.9,89
2013,2,international peace,Q114246474,20,99,2.5,1.9,375,549,700,5.5,93
2013,2,Plaza Juan Pablo II,Q136523625,7,108,3.2,1.9,460,538,620,5,44
2013,2,Pla del Bon Repòs,Q9060237,60,76,2.5,1.2,250,375,700,5,69
2013,2,San Juan Playa,Q9060728,160,90,2.3,1.7,250,552,1200,6.1,158
2013,2,Polígono Babel,Q18005830,17,103,3.2,1.9,350,530,700,5.2,79
2013,2,Polígono San Blas,Q9061569,12,101,3.1,1.7,340,483,600,4.8,74
2013,2,Raval Roig,Q9066754,11,75,2,1.5,350,462,750,6.2,130
2013,2,San Agustín (Alicante),Q9073289,4,90,2.4,1.4,280,436,750,4.9,179
2013,2,San Antón,Q2917775,10,101,2.3,1.5,240,438,600,4.3,92
2013,2,San Blas-Santo Domingo,Q4897331,60,88,2.7,1.5,300,432,600,4.9,63
2013,2,San Gabriel National Forest,Q7414207,34,104,2.9,1.9,330,524,800,5,92
2013,2,Santa Faz,Q10879280,2,75,1.7,1.3,400,449,550,6,71
2013,2,Sidi Ifni-Nuevo Alicante,Q6127455,3,80,2.8,1.2,350,391,450,4.9,34
2013,2,Tómbola,Q6154605,4,96,3,2.1,430,499,585,5.2,55
2013,2,Urbanova,Q125359431,10,76,2,1.6,325,458,800,6.1,108
2013,2,Villafranqueza,Q9094009,9,112,2.6,1.6,300,408,900,3.6,127
2013,2,Virgen del Remedio,Q6163619,4,89,2.8,1.5,300,354,420,4,41
2013,2,Vistahermosa,Q6163998,4,116,2.9,1.9,330,634,950,5.5,205
2013,3,Alipark,Q8195638,12,94,3.3,1.5,350,446,650,4.7,87
2013,3,Altozano-Conde Lumiares,Q5855261,25,100,3.1,1.5,275,436,550,4.4,72
2013,3,Benalua,Q8246192,64,90,2.9,1.6,250,429,800,4.7,95
2013,3,Benissa,Q1649406,5,94,2.7,1.9,400,492,575,5.3,55
2013,3,Cabo de las Huertas,Q8254541,39,110,2.6,1.7,300,630,1400,5.7,229
2013,3,Campoamor,Q8261229,33,90,2.8,1.4,300,418,550,4.7,70
