ID,NOMBRE,NOMBRE_URI,COORDENADAS,DIRECCIÓN,C.P.,POBLACIÓN,POBLACIÓN_URI
17000,Madrid-Chamartín-Clara Campoamor,https://wikidata.org/entity/Q23081,"(40,4732797; -3,6818974)","CALLE AGUSTIN DE FOXA, S/N",28036,Madrid,https://wikidata.org/entity/Q2807
35703,Orcasitas train station,https://wikidata.org/entity/Q5846837,"(40,367081; -3,704244)","CALLE CAMPOTEJAR, 25",28041,Madrid,https://wikidata.org/entity/Q2807
35704,railway station Puente Alcocer,https://wikidata.org/entity/Q5846980,"(40,350418; -3,705122)","CALLE ALCOCER, 54",28041,Madrid,https://wikidata.org/entity/Q2807
98305,Aeropuerto T4,https://wikidata.org/entity/Q2605805,"(40,491691; -3,593988)",CARRETERA M-12 - TERMINAL AEROPUERTO T4 - BARAJAS,28042,Madrid,https://wikidata.org/entity/Q2807
35601,Estación de Maestra Justa Freire-Polideportivo Aluche,https://wikidata.org/entity/Q5846227,"(40,38367; -3,768496)","AVENIDA DE LAS AGUILAS, 25",28044,Madrid,https://wikidata.org/entity/Q2807
35602,Estación de Las Aguilas,https://wikidata.org/entity/Q5846576,"(40,381009; -3,780187)","AVENIDA DE LAS AGUILAS, 144",28044,Madrid,https://wikidata.org/entity/Q2807
18000,Atocha-Cercanías,https://wikidata.org/entity/Q2842655,"(40,406556; -3,689508)","PLAZA DEL EMPERADOR CARLOS V, S/N",28045,Madrid,https://wikidata.org/entity/Q2807
18003,Méndez Álvaro railway station,https://wikidata.org/entity/Q112043069,"(40,395419; -3,678137)","CALLE DEL OMBU, S/N",28045,Madrid,https://wikidata.org/entity/Q2807
18004,Delicias railway station,https://wikidata.org/entity/Q5846110,"(40,400381; -3,692712)","PASEO DE LAS DELICIAS, 61",28045,Madrid,https://wikidata.org/entity/Q2807
35701,Méndez Álvaro railway station,https://wikidata.org/entity/Q112043069,"(40,395735; -3,677847)","CALLE PEDRO BOSCH, S/N",28045,Madrid,https://wikidata.org/entity/Q2807
18002,Nuevos Ministerios,https://wikidata.org/entity/Q112041228,"(40,446612; -3,692207)","CALLE RAIMUNDO FERNANDEZ VILLAVERDE, 69",28046,Madrid,https://wikidata.org/entity/Q2807
35600,Aluche train station,https://wikidata.org/entity/Q112042065,"(40,385738; -3,760807)","AVENIDA DE LOS POBLADOS, S/N",28047,Madrid,https://wikidata.org/entity/Q2807
35608,Laguna,https://wikidata.org/entity/Q2482135,"(40,399006; -3,744225)","CALLE ALHAMBRA, S/N",28047,Madrid,https://wikidata.org/entity/Q2807
17003,El Goloso station,https://wikidata.org/entity/Q5846165,"(40,558808; -3,713966)","CARRETERA COLMENAR VIEJO, KM 18",28049,Madrid,https://wikidata.org/entity/Q2807
17009,Cantoblanco station,https://wikidata.org/entity/Q4319104,"(40,543818; -3,700217)","CARRETERA M-607 DE COLMENAR VIEJO KM 15.600 - ESTACION FERROCARRIL, S/N",28049,Madrid,https://wikidata.org/entity/Q2807
19001,Universidad P. Comillas station,https://wikidata.org/entity/Q2280874,"(40,55412; -3,683267)","CARRETERA M-616 - ESTACION FERROCARRIL, S/N",28049,Alcobendas,https://wikidata.org/entity/Q487679
98003,Fuente de la Mora,https://wikidata.org/entity/Q16891479,"(40,484729; -3,662833)","CALLE DULCE CHACON, S/N",28050,Madrid,https://wikidata.org/entity/Q2807
70100,estación de Vicálvaro,https://wikidata.org/entity/Q116365232,"(40,401043; -3,5952733)","CALLE SAN CIPRIANO, 85",28052,Madrid,https://wikidata.org/entity/Q2807
98304,Valdebebas,https://wikidata.org/entity/Q19753295,"(40,48207; -3,616414)","AVENIDA DE LAS FUERZAS ARMADAS, S/N",28055,Madrid,https://wikidata.org/entity/Q2807
19002,Valdelasfuentes railway station,https://wikidata.org/entity/Q2753748,"(40,547425; -3,654149)","CALLE MARQUES DE LA VALDAVIA, S/N",28100,Alcobendas,https://wikidata.org/entity/Q487679
19003,Alcobendas-San Sebastián de los Reyes train station,https://wikidata.org/entity/Q1882520,"(40,546744; -3,635149)","AVENIDA DE ESPAÑA, 52",28100,San Sebastián de los Reyes,https://wikidata.org/entity/Q484717
10007,Majadahonda,https://wikidata.org/entity/Q2263478,"(40,474347; -3,845334)","CARRETERA DEL PLANTIO, S/N",28221,Majadahonda,https://wikidata.org/entity/Q427505
10002,estación de Pozuelo,https://wikidata.org/entity/Q5846969,"(40,447225; -3,800145)","CALLE ANTONIO DIAZ, 1",28224,Pozuelo de Alarcón,https://wikidata.org/entity/Q639422
10010,El Barrial train station,https://wikidata.org/entity/Q5846138,"(40,465299; -3,807828)","CALLE RAFAEL BOTI, 62",28224,Pozuelo de Alarcón,https://wikidata.org/entity/Q639422
10005,las Rozas de Valdearroyo,https://wikidata.org/entity/Q107976103,"(40,494215; -3,868181)","CALLE SAN SEBASTIAN, S/N",28230,Las Rozas de Madrid,https://wikidata.org/entity/Q592747
10100,Pinar,https://wikidata.org/entity/Q2537523,"(40,522282; -3,882258)","AVENIDA DE LOS BOMBEROS, S/N",28230,Las Rozas de Madrid,https://wikidata.org/entity/Q592747
