id,location_name_rdf,location_url,parameter,parameter_url,value,unit,datetimeUtc,timezone,latitude,longitude
4318_2025-10-04T16:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-04T16:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T17:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-04T17:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T18:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-04T18:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T19:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-04T19:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-04T20:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-04T20:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T00:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-05T00:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T01:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-05T01:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T02:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-05T02:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T03:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-05T03:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T04:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-05T04:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T05:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-05T05:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T06:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-05T06:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T07:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-05T07:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T08:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-05T08:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T09:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-05T09:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T10:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-05T10:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T11:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-05T11:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T12:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-05T12:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T13:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-05T13:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T14:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-05T14:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T15:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-05T15:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T16:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-05T16:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T19:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-05T19:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T20:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-05T20:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T22:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,300,µg/m³,2025-10-05T22:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
4318_2025-10-05T23:00:00Z_co,PlazaDelCarmen,https://www.wikidata.org/wiki/Q6080406,co,https://www.wikidata.org/wiki/Q2025,200,µg/m³,2025-10-05T23:00:00Z,Europe/Madrid,40.41916666016447,-3.703333329700339
